date,central govt,local govt,fundraising,confirmed case,death case,StringencyIndex,GovtResponseIndex
2020-01-15,-1.25,0,0,0,0,5.56,3.33
2020-01-16,-3,0,0,0,0,5.56,3.33
2020-01-17,-4.5,0,0,0,0,5.56,3.33
2020-01-18,0,0,0,0,0,8.33,5
2020-01-19,0,0,0,0,0,8.33,5
2020-01-20,0,0,0,0,0,8.33,5
2020-01-21,-5.842105263,0,0,0,0,8.33,5
2020-01-22,-3.666666667,-16,0,0,0,8.33,5
2020-01-23,-2.621621622,1.666666667,0,0,0,8.33,5
2020-01-24,-4.452380952,-2.673469388,0,0,0,8.33,5
2020-01-25,-6.537142857,-7.230769231,0,0,0,8.33,5
2020-01-26,-7.217518248,-5.518518519,0,0,0,8.33,5
2020-01-27,-6.891278375,-6.270833333,0,0,0,8.33,5
2020-01-28,-7.468531469,-5.362068966,0,0,0,8.33,5
2020-01-29,-5.170212766,-6.828571429,0,0,0,13.89,8.33
2020-01-30,-5.786516854,-3.884615385,0,0,0,13.89,8.33
2020-01-31,-6.136363636,-8.5,0,0,0,13.89,8.33
2020-02-01,-6.264150943,-6.5,0,0,0,13.89,8.33
2020-02-02,-5.668393782,-9.533333333,0,0,0,13.89,8.33
2020-02-03,-6.944954128,-2.689655172,0,0,0,23.15,13.89
2020-02-04,-6.446202532,-9.222222222,0,0,0,23.15,13.89
2020-02-05,-5.004048583,-4.071428571,0,0,0,28.7,17.22
2020-02-06,-5.027932961,-10.2,0,0,0,28.7,17.22
2020-02-07,-6.486956522,-7.875,0,0,0,28.7,17.22
2020-02-08,-6.607594937,-8.75,0,0,0,28.7,17.22
2020-02-09,-7.099173554,-17.33333333,0,0,0,28.7,17.22
2020-02-10,-5.532467532,-11.8,0,0,0,28.7,17.22
2020-02-11,-5.00390625,-16.75,0,0,0,28.7,17.22
2020-02-12,-5.124481328,1.235294118,0,0,0,28.7,17.22
2020-02-13,-3.951020408,-3.75,0,0,0,28.7,17.22
2020-02-14,-5.585858586,-6.1,0,0,0,28.7,17.22
2020-02-15,-5.32885906,-2.411764706,0,0,0,28.7,17.22
2020-02-16,-7,-12.45454545,0,0,0,28.7,17.22
2020-02-17,-5.05,-2.647058824,0,0,0,28.7,19.44
2020-02-18,-4.284090909,0.25,0,0,0,28.7,19.44
2020-02-19,-4.352112676,-6,0,0,0,28.7,19.44
2020-02-20,-2.835164835,-1.8,0,0,0,28.7,19.44
2020-02-21,-5.343283582,-5,0,0,0,28.7,19.44
2020-02-22,-8.1,-5,0,0,0,28.7,19.44
2020-02-23,-4.963414634,-8.2,0,0,0,28.7,19.44
2020-02-24,-6.175141243,-6.5,0,0,0,28.7,19.44
2020-02-25,-6.261904762,-5.823529412,0,0,0,28.7,19.44
2020-02-26,-6.563139932,-7,0,0,0,28.7,19.44
2020-02-27,-7.179810726,-9.208333333,0,0,0,28.7,19.44
2020-02-28,-7.04109589,-5.225806452,0,0,0,28.7,19.44
2020-02-29,-7.839189189,-3.978417266,0,0,0,28.7,19.44
2020-03-01,-7.997782705,-5.212041885,0,0,0,28.7,19.44
2020-03-02,-5.265367316,-4.48241206,0,2,0,28.7,19.44
2020-03-03,-6.349840256,-5.388297872,0,0,0,37.04,24.44
2020-03-04,-6.530927835,-7.229491173,0,0,0,37.04,24.44
2020-03-05,-8.489642185,-6.42601626,0,0,0,37.04,24.44
2020-03-06,-8.511627907,-4.720883534,0,2,0,37.04,24.44
2020-03-07,-8.390243902,-2.992,0,0,0,37.04,24.44
2020-03-08,-9.142433234,-2.102739726,0,2,0,37.04,24.44
2020-03-09,-7.364985163,-2.488095238,0,13,0,37.04,24.44
2020-03-10,-6.300341297,-4.301282051,0,8,0,37.04,24.44
2020-03-11,-7.397790055,-4.782527881,0,0,4,37.04,24.44
2020-03-12,-6.4,-5.489823609,0,35,4,37.04,24.44
2020-03-13,-5.134730539,-3.672473868,0,27,5,37.04,24.44
2020-03-14,-5.606102635,-4.381118881,0,21,5,37.04,24.44
2020-03-15,-5.652173913,-3.082973207,1,17,5,40.74,30
2020-03-16,-5.599465955,-3.464539007,5,38,7,45.37,32.78
2020-03-17,-6.479746835,-3.432762836,11,55,19,42.59,31.11
2020-03-18,-5.397574124,-3.814765101,18,82,25,42.59,31.11
2020-03-19,-6.590384615,-3.431818182,24,60,32,45.37,32.78
2020-03-20,-5.970178926,-3.263035921,24,81,38,45.37,32.78
2020-03-21,-7.13322884,-4.332863188,11,64,48,45.37,32.78
2020-03-22,-6.754409769,-4.674547983,15,65,49,45.37,32.78
2020-03-23,-6.782539683,-5.048558422,16,106,55,48.15,34.44
2020-03-24,-6.237373737,-3.72826087,12,105,58,48.15,34.44
2020-03-25,-7.112443778,-4.217665615,13,103,78,48.15,34.44
2020-03-26,-6.786948177,-2.386243386,8,153,87,48.15,34.44
2020-03-27,-6.916483516,-4.127659574,48,109,102,48.15,34.44
2020-03-28,-8.112696148,-4.091928251,2,130,114,48.15,34.44
2020-03-29,-7.309278351,-3.438631791,12,129,122,50.93,36.11
2020-03-30,-8.167647059,-5.657039711,7,114,136,50.93,36.11
2020-03-31,-6.277992278,-5.493920973,41,149,157,50.93,36.11
2020-04-01,-6.977832512,-5.529154519,5,113,170,50.93,39.44
2020-04-02,-6.463414634,-3.736775819,6,196,181,50.93,39.44
2020-04-03,-6.986666667,-2.836391437,2,106,191,50.93,39.44
2020-04-04,-8.819085487,-3.789473684,5,181,198,50.93,39.44
2020-04-05,-7.910569106,-4.368956743,2,218,209,50.93,41.11
2020-04-06,-7.651335312,-4.65720524,6,247,221,50.93,46.11
2020-04-07,-6.233606557,-2.491295938,49,218,240,60.65,51.94
2020-04-08,-7.169960474,-3.313218391,5,337,280,60.65,51.94
2020-04-09,-7.793721973,-3.00295858,34,219,306,60.65,51.94
